Specieslist,CV,Bias,StDev,M
California scorpionfish,0.4,-0.075937117,0.015058884,0.25
California scorpionfish,0.5,-0.072967512,0.023619636,0.25
Cabezon,0,0.003090695,0.023739333,0.28
Cabezon,0.1,-0.005867511,0.035115254,0.28
Cabezon,0.2,-0.008374151,0.030569833,0.28
Cabezon,0.3,-0.025876172,0.036556665,0.28
Cabezon,0.4,-0.004725616,0.021853867,0.28
Cabezon,0.5,-0.023555539,0.03747017,0.28
Black rockfish,0,-0.02657264,0.015478437,0.14
Black rockfish,0.1,-0.02323021,0.016517283,0.14
Black rockfish,0.2,-0.029900837,0.011547984,0.14
Black rockfish,0.3,-0.032152886,0.015800025,0.14
Black rockfish,0.4,-0.026288754,0.0243457,0.14
Black rockfish,0.5,-0.02739122,0.01963537,0.14
Vermillion rockfish,0,-0.003924676,0.011293791,0.1
Vermillion rockfish,0.1,-0.003807694,0.009156762,0.1
Vermillion rockfish,0.2,-0.003431395,0.011732493,0.1
Vermillion rockfish,0.3,-0.005559886,0.013585979,0.1
Vermillion rockfish,0.4,-9.85E-05,0.015602309,0.1
Vermillion rockfish,0.5,0.001623382,0.029377757,0.1
Blue rockfish,0,-0.048409796,3.60E-05,0.14
Blue rockfish,0.1,-0.048459755,3.37E-05,0.14
Blue rockfish,0.2,-0.048346096,3.38E-05,0.14
Blue rockfish,0.3,-0.048506595,3.40E-05,0.14
Blue rockfish,0.4,-0.048272105,2.47E-05,0.14
Blue rockfish,0.5,-0.048655222,3.53E-05,0.14
China rockfish,0,0.019510833,0.012659878,0.06
China rockfish,0.1,0.022244291,0.010781283,0.06
China rockfish,0.2,0.022252817,0.015110945,0.06
China rockfish,0.3,0.015217301,0.014687529,0.06
China rockfish,0.4,0.02327788,0.021846388,0.06
China rockfish,0.5,0.003664504,0.023425695,0.06
Bocaccio,0,-0.025675328,0.013835616,0.15
Bocaccio,0.1,-0.032738964,0.009738191,0.15
Bocaccio,0.2,-0.022864792,0.011546549,0.15
Bocaccio,0.3,-0.021329339,0.017465408,0.15
Bocaccio,0.4,-0.018511045,0.029842786,0.15
Bocaccio,0.5,-0.039064817,0.019834707,0.15
Olive rockfish,0,-0.021425637,0.008152043,0.14
Olive rockfish,0.1,-0.008308211,0.016015914,0.14
Olive rockfish,0.2,-0.009796939,0.010823546,0.14
Olive rockfish,0.3,-0.014046333,0.009230813,0.14
Olive rockfish,0.4,-0.012710449,0.02375549,0.14
Olive rockfish,0.5,-0.013918527,0.027594705,0.14
Red sea urchin,0,-0.081952727,0.014088563,0.07
Red sea urchin,0.1,-0.069032201,0.01074593,0.07
Red sea urchin,0.2,-0.078657848,0.015513258,0.07
Red sea urchin,0.3,-0.071637085,0.018206171,0.07
Red sea urchin,0.4,-0.073285736,0.018002235,0.07
Red sea urchin,0.5,-0.082568435,0.019740228,0.07
